ESTUDIO;ENTREV;REGISTRO;CUES;TIPO_TEL;CCAA;PROV;MUN;TAMUNI;CAPITAL;SEXO;EDAD;A0;NACIONALIDAD;P1;P2;P3_1;P3_2;P3_3;P3_4;P4;P5_1;P5_2;P5_3;P6_1;P6_2;P6_3;P6_4;P6_5;P6_6;P6_7;P6_9;P7_1;P7_2;P7_3;P7_4;P7_5;P8;P8A_1;P8A_2;P8A_18;P8A_44;P8A_81;P8A_21;P8A_4;P8A_80;P8A_82;P8A_83;P8A_84;P8A_85;P8A_86;P8A_87;P8A_88;P8A_89;P8A_92;P8A_91;P8A_17;P8A_95;P8A_98;P8A_99;P9;P9A_1;P9A_2;P9A_18;P9A_44;P9A_81;P9A_21;P9A_4;P9A_80;P9A_82;P9A_83;P9A_84;P9A_85;P9A_86;P9A_87;P9A_88;P9A_89;P9A_92;P9A_91;P9A_17;P9A_95;P9A_98;P9A_99;P10;P10A_1;P10A_2;P10A_18;P10A_44;P10A_81;P10A_21;P10A_4;P10A_80;P10A_82;P10A_83;P10A_84;P10A_85;P10A_86;P10A_87;P10A_88;P10A_89;P10A_92;P10A_91;P10A_17;P10A_95;P10A_98;P10A_99;P11_1;P11_2;P11_3;P12;P12A;P12B;PARTICIPACIONA;RECUVOTOA;RECUVOTOAR;RVAUTO;RVAUTOR;FIDELID;DUDAPART;P15A_1;P15A_2;P15ACOM;P16_1;P16_2;DECISVOTO;CAMBIOVOTO;ABSTENCION;P19A;P19B_1;P19B_2;P19C;P19D;ESCIDEOL;ESCUELA;NIVELESTENTREV;ESTUDIOS;RELIGION;FRECUENCIARELI;ESTADOCIVIL;SITLAB;CNO11;RELALAB;CLASESOCIAL;CLASESUB;PESO;IA_I501;IA_I502;IA_I503;IA_I504;IA_I505;IA_I506;IA_I507;IA_I508;IA_I509;IA_I510;IA_I511;IA_I512;IA_I513;IA_I514;IA_I515;IA_I516;IA_I517;IA_I518;IA_I519;IA_I520;IA_I521;IA_I522;IA_I523;IA_I524;IA_I525;IA_I526;IA_I528;IA_I529;IA_I530;IA_I531;IA_I532;IA_I533;IA_I534;IA_I535;IA_I536;IA_I537;IA_I538;IA_I539;IA_I540;IA_I541;IA_I542;IA_I543;IA_OBS0;IA_OBS1;IA_OBS2;IA_E1_DIA;IA_E1_MES;IA_E1_ANYO;IA_E2;IA_E3;IA_E4;IA_VALIDA;IA_APLAZADA;IA_MODIFICADA;IA_SUPERVISADA;IA_C2;IA_C2A;IA_C2B_1;IA_C2B_2;IA_C2B_3;IA_C2B_4;IA_C2B_5;IA_C2B_6;IA_C2B_7;IA_C2B_8;IA_C2B_9;IA_C2B_10;IA_C2B_11;IA_C2B_12;IA_C2B_13;IA_C2B_14;IA_C2B_15;IA_C2B_16;IA_C2B_17;IA_C2B_18;IA_C2B_19;IA_C2B_20;IA_C2B_21;IA_C2B_22;IA_C2B_23;IA_C2B_24;IA_C2B_25;IA_C3;IA_C4;CNO11R;PESOPROV
3352;0;1158;1830;1;8;37;0;3;3;2;18;1;1;3;3;1;1;1;3;90;5;3;6;1;2;2;2;1;2;2;2;2;1;1;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;3;6;1;4;4;4;4;6;1;4;86;486;10;7;4;8;0;0;0;0;0;0;5;3;6;4;5;0;2;6;5;4;3;2;1,44717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0; ; ; ;14;2;22;1;13;3;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;13;1,41669
3352;0;1257;1831;1;8;37;0;3;3;2;46;1;1;2;3;3;2;2;3;84;3;98;99;2;2;2;2;1;2;2;2;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4;1;4;0;1;99;99;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;6;4;2;2;1;1;9;2;3;2;,96867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ;14;2;22;1;10;3;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;,99282
3352;0;2323;1832;1;8;37;0;3;3;1;72;1;1;1;1;4;4;3;4;98;2;95;99;1;2;2;2;2;2;2;2;2;2;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;1;4;0;1;21;21;21;21;1;6;0;0;0;7;6;1;1;0;0;0;0;0;0;1;3;5;5;6;0;1;2;7;4;96;6;1,18812;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;5;0; ; ; ;15;2;22;2;20;2;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1,18425
3352;0;2348;1833;1;8;37;0;3;3;2;55;1;1;3;3;4;4;4;4;87;3;95;99;2;2;2;2;1;2;2;2;2;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;1;4;0;1;2;2;2;2;2;6;0;0;0;10;4;2;1;0;0;0;0;0;0;3;3;6;4;2;2;1;1;3;1;3;2;,9655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ;15;2;22;2;11;2;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;,91433
3352;0;2718;1834;1;8;37;0;3;3;1;34;1;1;2;4;4;4;3;4;87;2;4;3;2;2;2;2;2;2;1;2;2;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;4;0;1;21;21;21;21;3;1;21;86;2186;10;7;1;1;0;0;0;0;0;0;3;3;12;6;5;0;2;1;1;4;4;3;1,51776;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;13;0;0;0;0;15;0; ; ; ;15;2;22;2;18;3;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1,00226
3352;0;2731;1835;1;8;37;0;3;3;1;56;1;1;4;4;4;4;4;4;97;6;4;95;2;2;2;2;2;2;1;2;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;3;4;2;0;0;1;99;99;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;5;5;2;1;2;1;8;1;4;3;,95118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ;15;2;22;2;12;3;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;,89386
3352;0;3280;1836;2;8;37;0;3;3;2;64;1;1;4;4;4;3;4;9;98;3;99;99;2;2;2;2;2;2;1;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;7;2;0;0;1;99;99;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;3;4;3;2;9;3;3;11;7;4;3;,9655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ;16;2;22;3;9;1;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;15;,91433
3352;0;4029;1837;2;8;37;0;3;3;2;28;1;1;2;2;3;3;2;2;90;2;3;1;1;2;1;2;1;2;2;2;1;2;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;3;4;1;2;2;2;2;2;6;0;0;0;10;6;1;1;0;0;0;0;0;0;1;3;13;6;6;0;2;1;2;4;3;2;1,23613;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;27;0;0;0;0;43;0; ; ; ;17;2;22;4;11;2;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1,13871
3352;0;7586;1838;1;8;37;0;3;3;2;73;1;1;3;3;4;4;4;4;98;6;95;99;2;2;2;2;2;2;1;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;7;2;0;0;1;1;1;1;1;1;6;0;0;0;10;1;1;1;0;0;0;0;0;0;99;3;4;3;1;1;1;2;9;1;4;3;1,29752;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ;17;2;22;4;12;3;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1,19823
3352;0;7663;1839;1;8;37;0;3;3;2;66;1;1;9;2;2;2;2;2;82;2;3;95;2;2;2;2;1;2;2;2;1;2;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;7;2;0;0;1;1;1;1;1;3;6;0;0;0;96;99;1;1;0;0;0;0;0;0;10;3;2;2;2;1;1;3;7;1;11;6;1,29752;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0; ; ; ;17;2;22;4;12;3;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;15;1,19823
3352;0;8625;1840;1;8;37;0;3;3;2;54;1;1;2;2;2;2;2;1;90;3;5;1;1;2;1;2;1;2;2;2;2;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;1;2;4;1;18;18;18;18;3;6;0;0;0;7;2;1;1;0;0;0;0;0;0;10;3;4;3;2;3;1;1;11;1;12;5;,96867;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;15;11; ; ; ;18;2;22;5;13;3;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;,99282
3352;0;9975;1841;2;8;37;0;3;3;1;45;1;1;1;1;2;2;3;3;90;3;4;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;4;0;1;99;99;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;3;7;5;5;0;2;1;6;2;5;4;,98561;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;11;3;0;0;0;1;2; ; ; ;21;2;22;1;14;4;1;0;0;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;6;1,31975
3352;0;790;1842;1;8;37;0;2;3;2;42;1;1;3;3;3;1;1;3;97;3;6;4;2;2;2;2;2;2;1;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;1;4;0;1;2;2;2;2;2;6;0;0;0;6;99;1;1;0;0;0;0;0;0;1;3;6;4;6;0;1;4;9;2;3;2;,94752;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;3;1;0;0;0;6;1; ; ; ;15;2;22;2;10;1;1;0;0;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;16;,84656
3352;0;4684;1843;2;8;37;0;2;3;2;38;1;1;1;1;1;3;3;3;98;3;1;7;1;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;0;0;1;1;1;1;1;1;3;1;18;118;10;7;5;2;0;0;0;0;0;0;7;3;6;4;2;4;1;1;5;1;3;2;,94752;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ;16;2;22;3;12;3;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;,84656
3352;0;1202;1844;1;8;37;0;1;3;1;31;1;1;3;3;3;3;2;2;98;4;3;5;1;2;1;2;1;2;2;2;2;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;4;1;2;3;1;18;18;18;18;1;6;0;0;0;10;7;1;1;0;0;0;0;0;0;8;3;4;3;2;1;2;1;7;1;4;3;1,70179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ;14;2;22;1;16;3;1;0;0;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;7;1,14262
3352;0;933;1845;1;8;37;0;1;3;2;61;1;1;2;2;4;3;4;4;85;2;5;4;1;2;2;2;1;1;2;2;1;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;1;4;0;1;18;18;18;18;3;6;0;0;0;96;99;1;1;0;0;0;0;0;0;5;3;4;3;4;0;1;1;11;1;5;4;1,08257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ;14;2;22;1;25;2;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1,04238
3352;0;2055;1846;1;8;37;0;1;3;1;62;1;1;2;2;3;3;3;4;90;3;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;1;4;0;1;2;2;2;2;2;6;0;0;0;5;6;1;1;0;0;0;0;0;0;3;3;11;6;2;1;1;1;3;1;3;2;1,06651;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;6;0; ; ; ;16;2;22;3;17;1;1;1;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1,01904
3352;0;9428;1847;1;8;37;0;1;3;2;60;1;1;2;3;4;4;4;4;97;5;4;95;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;7;1;4;0;1;1;1;1;1;2;2;99;99;9999;5;96;3;1;0;0;0;0;0;0;6;3;5;5;2;1;1;8;6;4;3;2;1,08257;0;0;0;0;0;0;4;0;14;6;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0; ; ; ;21;2;22;1;24;2;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;15;1,04238
3352;0;5261;1848;2;8;37;0;1;3;2;55;1;1;2;3;3;2;2;3;30;2;1;6;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;4;0;1;99;99;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;11;6;2;3;1;1;2;1;3;2;1,08257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0; ; ; ;16;2;22;3;16;3;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1,04238
3352;0;9066;1849;1;8;37;0;1;3;1;80;1;1;2;2;3;2;2;3;12;3;4;95;2;2;2;2;2;2;1;2;1;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;7;1;2;6;1;99;99;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3;4;3;1;5;1;2;99;1;99;9;1,33218;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;2;0; ; ; ;19;2;22;6;13;2;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1,3501
3352;0;3930;1850;2;8;37;0;1;3;1;56;1;1;2;2;4;3;1;4;79;3;4;1;2;2;2;2;2;2;1;2;2;2;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4;1;4;0;1;1;1;1;1;1;6;0;0;0;8;1;1;1;0;0;0;0;0;0;6;3;4;3;1;2;1;1;6;7;3;2;1,06651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;2;0; ; ; ;16;2;22;3;15;2;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1,01904
3352;0;8898;1851;1;8;37;0;1;3;2;75;1;1;2;2;3;3;4;3;98;3;99;99;2;2;2;2;2;2;1;2;2;2;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;7;2;0;0;1;2;2;2;2;1;6;0;0;0;6;99;1;1;0;0;0;0;0;0;1;3;2;2;1;3;3;7;6;1;6;5;1,45484;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ;18;2;22;5;21;4;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;14;1,36604
3352;0;2648;1852;1;8;37;0;1;3;2;76;1;1;2;1;4;4;1;1;98;3;1;4;2;2;2;2;2;2;1;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;7;2;0;0;1;99;99;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3;6;4;1;5;1;7;9;1;4;3;1,45484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0; ; ; ;15;2;22;2;12;3;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;14;1,36604
3352;0;2763;1853;1;8;37;0;1;3;1;35;1;1;4;4;3;4;4;4;98;97;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;2;0;0;4;0;0;97;97;0;0;0;0;0;0;0;0;0;4;0;0;0;0;5;5;3;4;3;2;3;1;1;1;4;2;1;1,405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ;15;2;22;2;13;3;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2,19085
3352;0;7564;1854;1;8;37;0;1;3;1;72;1;1;3;4;4;4;4;1;83;6;7;99;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;1;4;0;1;99;99;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;2;2;4;0;2;2;1;4;3;2;1,33218;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;3;0; ; ; ;17;2;22;4;15;3;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1,3501
3352;0;7662;1855;1;8;37;0;1;3;1;55;1;1;3;3;3;3;3;3;98;2;1;99;1;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;1;4;0;1;96;96;96;96;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;99;3;8;6;2;1;1;1;8;1;96;6;1,06651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ;17;2;22;4;16;3;1;0;0;1;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;8;1,01904
